Trial_ID,P1,P2,P3,P4,P5,P6,WarpMax,T_Tip_Peel,T_Tip_Shear,T_Tip_SEQV,T_Tip_Strain,T_Avg_Peel,T_Avg_Shear,B_Tip_Peel,B_Tip_Shear,B_Tip_SEQV,B_Tip_Strain,B_Avg_Peel,B_Avg_Shear,Die_SX,Die_SY_Max
BO_Trial_0243,0.8647841036631707,0.08755230081146821,0.7111978947115821,0.24902817032822377,1.2009616287927034,0.06257873755464818,-0.1730734,-37.33786,0.24080063,40.949867,0.0037283197,0.044662885,-3.5884902,-4.690855,-3.2271864,26.128073,0.0017401843,0.0073365676,-3.4989436,73.96306,-93.88371
BO_Trial_0244,0.8597290826062716,0.0883649079322596,0.7121464575319707,0.2501297527716356,1.2185156930989964,0.06243292100789699,-0.17145675,-37.513783,-0.32370618,41.1358,0.0037073349,0.04384876,-3.6349301,-4.6682563,-3.2846706,26.120354,0.0017542074,0.0065745846,-3.5444434,74.17622,-94.18865
BO_Trial_0245,0.8538648158260111,0.08771125359832359,0.7108073805553783,0.24659322862356498,1.2003515685120663,0.06289291750835081,-0.17337814,-38.036022,-1.7983562,42.3375,0.0037471158,0.051751602,-3.701178,-4.8954835,-3.414305,26.63014,0.0018014216,0.0073404624,-3.625809,75.4516,-93.66494
BO_Trial_0246,0.8544494584997476,0.08777375613751832,0.7106647153786144,0.2576892178918376,1.2152427952540745,0.06288387204903274,-0.17138232,-38.19266,-1.4539146,42.05831,0.003712952,0.04583347,-3.7179906,-4.8886905,-3.3636436,26.433735,0.0017881804,0.003944007,-3.6405597,74.88626,-94.03537
BO_Trial_0247,0.8612245392460905,0.08843815467808018,0.7122937614214416,0.2461088497425391,1.2003259841091243,0.06173969527075835,-0.17323034,-37.154816,0.37182045,40.861347,0.0037203145,0.04608751,-3.5981498,-4.857274,-3.2739756,26.177374,0.001753269,0.008797871,-3.5067327,74.27968,-94.09355
BO_Trial_0248,0.8597885249802654,0.05074617520472874,0.7125132918810094,0.24744081784547187,1.2275884367192067,0.061678385486460596,-0.16314827,-35.862366,11.324263,39.430355,0.004234256,0.01193734,-3.2237375,-4.3214507,-2.978922,27.320353,0.0017810141,-0.011402128,-3.0589364,69.789635,-93.68248
BO_Trial_0249,0.8532610586913003,0.08852055185798388,0.7108027316653386,0.24483815099142847,1.2140575874224548,0.061618284772393214,-0.17182103,-37.795677,-1.0827793,41.743927,0.0037134471,0.049325563,-3.6844242,-4.9140024,-3.381291,26.437239,0.0017896041,0.0077781207,-3.6020646,74.9134,-94.29272
BO_Trial_0250,0.8632758950063844,0.06847368547076388,0.7132558061590706,0.2551201007388458,1.200736421820098,0.06292797870350142,-0.17231084,-36.211586,7.1365128,39.062145,0.0038568075,0.038973756,-3.178858,-5.4635425,-3.0839727,26.436562,0.0017549159,-0.0036547342,-3.12795,70.38224,-93.49332
BO_Trial_0251,0.8801842613380515,0.08758448455036819,0.7104958490888925,0.24806591316829033,1.2005145464392697,0.06366790948722195,-0.17292951,-36.369488,2.3518374,39.352757,0.003716876,0.035217505,-3.411009,-4.2527,-2.9592998,25.418804,0.0016505999,0.0077224434,-3.2952049,71.95251,-93.415565
BO_Trial_0252,0.8802069793637413,0.0873090954047379,0.7102080841016414,0.24819924074085112,1.2220562664142811,0.06359834216221714,-0.17090528,-36.388412,2.4297638,39.154408,0.0037014969,0.03208657,-3.4050558,-4.177079,-2.9258873,25.25977,0.0016379982,0.0068109375,-3.2848816,71.398445,-93.543976
